id,lon,lat,elev
20642124.0,-79.4034372,43.7410785,133.0
20642126.0,-79.4034871,43.7412855,135.0
20642128.0,-79.4034586,43.741464,135.0
20641935.0,-79.4033279,43.7415905,138.0
20641914.0,-79.4041509,43.743868,132.0
844349894.0,-79.4040385,43.7438345,131.0
20641923.0,-79.4039659,43.7438188,131.0
20641925.0,-79.4038421,43.743769,132.0
1481788833.0,-79.403794,43.7436835,132.0
20641926.0,-79.4037741,43.743648,132.0
1481788819.0,-79.4037141,43.7435035,130.0
20641928.0,-79.4036514,43.7433522,130.0
20641907.0,-79.4066084,43.743316,130.0
4539908822.0,-79.406434,43.7433565,130.0
524128820.0,-79.4063646,43.7433684,130.0
869743764.0,-79.4062825,43.7433851,130.0
370980915.0,-79.4056787,43.743508,130.0
20641922.0,-79.4055367,43.7435335,130.0
869743757.0,-79.4051513,43.7435335,130.0
20641920.0,-79.4050388,43.7435335,130.0
20641919.0,-79.4043608,43.7436947,131.0
20641917.0,-79.4042149,43.7437567,131.0
552589177.0,-79.4040949,43.7441518,134.0
20641913.0,-79.4040625,43.744255,134.0
252680820.0,-79.403766,43.7311451,165.0
261656910.0,-79.4039896,43.7318953,166.0
252678652.0,-79.4040168,43.7320159,166.0
261656648.0,-79.4042223,43.7329211,167.0
278070694.0,-79.4042381,43.7329881,167.0
252680819.0,-79.404262,43.7330606,167.0
55543991.0,-79.4044095,43.7336906,168.0
3463461.0,-79.380579,43.7302423,114.0
560681498.0,-79.3786553,43.7306393,116.0
3463466.0,-79.3784549,43.7306864,116.0
1755289579.0,-79.3779149,43.7308005,117.0
1545614042.0,-79.3775854,43.7308701,117.0
3463469.0,-79.3766672,43.7310515,120.0
3463473.0,-79.3756677,43.7312474,123.0
3463475.0,-79.3721738,43.7319631,154.0
3463476.0,-79.3710775,43.7321573,153.0
3463477.0,-79.3696956,43.7324674,150.0
3463478.0,-79.3685283,43.7327217,149.0
3463480.0,-79.367312,43.7329874,148.0
3463481.0,-79.3661103,43.7332478,147.0
3463482.0,-79.3649774,43.7334907,144.0
1390302906.0,-79.3819811,43.7363919,154.0
20650050.0,-79.3818445,43.73641,153.0
20650071.0,-79.3720615,43.7383003,157.0
20650072.0,-79.3721831,43.7386927,155.0
1390296024.0,-79.3721969,43.7388253,156.0
20650074.0,-79.3721622,43.7389171,154.0
20650075.0,-79.3721074,43.739025,154.0
20650079.0,-79.3724302,43.738056,159.0
20650078.0,-79.3724364,43.7381004,159.0
1390296019.0,-79.3725113,43.7381512,159.0
20650069.0,-79.3726012,43.7381938,159.0
1470510767.0,-79.3649492,43.7334663,144.0
20650096.0,-79.3647767,43.7333174,143.0
20650098.0,-79.3641308,43.7329291,141.0
20650099.0,-79.3631813,43.732382,140.0
389404134.0,-79.3625459,43.7320303,141.0
20650100.0,-79.3623024,43.7318666,141.0
20650102.0,-79.3620482,43.7316866,141.0
20650103.0,-79.3613578,43.7308124,139.0
20650056.0,-79.3784726,43.7370981,157.0
1390298922.0,-79.3783771,43.7370258,158.0
20650115.0,-79.3772299,43.7360611,157.0
20650116.0,-79.3759745,43.7350289,156.0
20650117.0,-79.3746912,43.7339781,155.0
1755295553.0,-79.374173,43.7335759,155.0
20650118.0,-79.3734452,43.7330109,153.0
1755295516.0,-79.3729067,43.7325649,153.0
3711552299.0,-79.3716518,43.7313929,154.0
20650119.0,-79.3711761,43.7308143,154.0
20650120.0,-79.3705252,43.730089,153.0
20650121.0,-79.3700323,43.7297263,152.0
20650122.0,-79.3694558,43.7294768,151.0
20650123.0,-79.3689276,43.7293446,150.0
20650124.0,-79.3683492,43.7292944,150.0
20650125.0,-79.3677562,43.7293084,147.0
20650126.0,-79.3671492,43.7294066,144.0
20650127.0,-79.3663151,43.7296484,144.0
20650128.0,-79.365299,43.7299402,146.0
20650138.0,-79.3682007,43.7324016,149.0
20650139.0,-79.3677154,43.7318315,149.0
20650140.0,-79.3671877,43.7311885,148.0
20650141.0,-79.366848,43.7308063,147.0
20650142.0,-79.3663324,43.7304545,146.0
20650143.0,-79.3658835,43.7302786,146.0
20650145.0,-79.3655196,43.7301755,146.0
20650144.0,-79.3653982,43.730133,146.0
20650146.0,-79.3653376,43.7300481,146.0
20650063.0,-79.3754096,43.7378522,160.0
1390298446.0,-79.3753955,43.7378048,161.0
1390293664.0,-79.3652892,43.7298982,146.0
20650147.0,-79.3651858,43.7294554,145.0
20650148.0,-79.3650769,43.7290063,144.0
20650149.0,-79.3649816,43.7285844,144.0
20650150.0,-79.3649544,43.7282305,143.0
20650151.0,-79.3649544,43.7276316,141.0
20650152.0,-79.3649136,43.7274274,140.0
20650153.0,-79.3648183,43.7272913,140.0
20650154.0,-79.3645989,43.7271072,139.0
20650155.0,-79.3644177,43.72694,139.0
20650156.0,-79.3643689,43.7268703,139.0
20650157.0,-79.3643341,43.7267448,138.0
20650158.0,-79.3642923,43.7264104,137.0
20650159.0,-79.3642087,43.7261804,137.0
20650160.0,-79.3640345,43.7258459,135.0
20650161.0,-79.3638672,43.7255811,134.0
20650163.0,-79.3654603,43.7284795,143.0
20650164.0,-79.3625268,43.7258997,139.0
20650165.0,-79.3614555,43.7261069,140.0
20650114.0,-79.3602622,43.7263708,141.0
20650113.0,-79.3603081,43.727238,141.0
1390292808.0,-79.3602171,43.7272551,141.0
20650182.0,-79.3597981,43.7273367,141.0
20650181.0,-79.3592241,43.727461,140.0
20650180.0,-79.358715,43.7275616,140.0
20650178.0,-79.3582002,43.7276682,137.0
20650177.0,-79.3576012,43.727789,136.0
20650175.0,-79.3570654,43.7279082,133.0
20650174.0,-79.3561949,43.7280944,131.0
20650173.0,-79.355562,43.7282261,132.0
20650172.0,-79.3554211,43.7282132,132.0
20650171.0,-79.3553,43.728118,131.0
20650170.0,-79.3552822,43.727899,132.0
20650168.0,-79.3552585,43.7274078,133.0
20650169.0,-79.3552301,43.7269886,135.0
20650179.0,-79.3582061,43.7281121,135.0
1390290945.0,-79.358201,43.7277321,137.0
20650176.0,-79.3571585,43.7282305,132.0
1390291151.0,-79.3570802,43.7279593,133.0
20650109.0,-79.3604222,43.7292166,140.0
4367046766.0,-79.3603025,43.729243,140.0
20650186.0,-79.3593495,43.7294535,140.0
20650198.0,-79.3583121,43.7288297,135.0
20650197.0,-79.3582982,43.7291285,135.0
20650196.0,-79.3582565,43.7292189,135.0
20650190.0,-79.3581175,43.7293857,133.0
1390291937.0,-79.3593475,43.7294132,140.0
20650199.0,-79.3592989,43.7284475,139.0
1390290824.0,-79.3592284,43.7275181,140.0
20650183.0,-79.3637952,43.7284892,143.0
20650184.0,-79.3626347,43.7287116,141.0
20650185.0,-79.3614393,43.7289617,140.0
4367046765.0,-79.3604903,43.7291995,140.0
20650200.0,-79.3636771,43.727544,141.0
20650201.0,-79.3626485,43.7277595,142.0
20650202.0,-79.3615297,43.7280027,141.0
20650112.0,-79.3603822,43.7282416,140.0
20650203.0,-79.3634894,43.7265503,139.0
20650204.0,-79.3622802,43.7268144,141.0
20650205.0,-79.3621829,43.7268908,141.0
20650206.0,-79.3621968,43.7270506,141.0
20650207.0,-79.3615853,43.7271757,141.0
20650208.0,-79.3613004,43.7271132,141.0
1478662802.0,-79.3576388,43.7534783,140.0
2386978635.0,-79.3576615,43.7534812,140.0
1478662807.0,-79.3578261,43.7535014,140.0
1478662801.0,-79.3583176,43.7533919,139.0
421302115.0,-79.3481499,43.7555611,131.0
2252597392.0,-79.347999,43.755533,131.0
1604293601.0,-79.3472425,43.7557054,132.0
259750212.0,-79.3471293,43.7557279,132.0
1498129.0,-79.3394461,43.757479,151.0
265864503.0,-79.3379526,43.7577641,158.0
2025468641.0,-79.3377532,43.7578073,158.0
1381262372.0,-79.3375177,43.7578587,159.0
2025468733.0,-79.3372462,43.7579146,158.0
1498011.0,-79.346728,43.7663203,159.0
1498015.0,-79.3466078,43.7676901,160.0
1497997.0,-79.3470713,43.7602455,128.0
2878403973.0,-79.3470904,43.7609393,134.0
2252596179.0,-79.34702,43.7535711,132.0
2252596181.0,-79.3469191,43.7536499,131.0
2252599354.0,-79.3469236,43.7540006,130.0
425666286.0,-79.3347701,43.7755103,174.0
2842117533.0,-79.33486,43.7755798,174.0
2842117534.0,-79.3349841,43.7755993,174.0
2842117535.0,-79.3351029,43.7756179,174.0
429378395.0,-79.3351996,43.7756258,175.0
1550799608.0,-79.3359325,43.7757033,176.0
4398331563.0,-79.3392779,43.7760763,180.0
3086358041.0,-79.3395212,43.7760998,180.0
259750255.0,-79.340222,43.7761688,180.0
20939155.0,-80.2956949,43.3874964,315.0
1014892088.0,-80.2953586,43.3876186,315.0
20939156.0,-80.2951725,43.3877296,313.0
20939157.0,-80.2950116,43.3878098,312.0
20939158.0,-80.2946255,43.3878783,313.0
