"id","area_km"
4210273.04,1.42
4210280.01,1.53
4210280.02,1.57
4210280.03,3.66
4210290.01,2.59
4210290.03,4.17
4210290.04,5.03
4210300.00,3.09
4210310.00,1.45
4210311.01,3.43
4210311.02,0.70
4210320.01,3.80
4210320.02,1.81
4210320.03,4.09
4210320.04,1.32
4210320.05,32.29
4210320.07,1.61
4210320.08,3.49
4210330.00,1.16
4210340.01,1.05
4210340.02,1.45
4210340.03,6.88
4210360.01,3.08
4210360.02,3.45
4210370.00,61.79
4210500.00,20.45
4210510.00,53.63
4210520.00,108.79
4210530.00,229.55
4210540.00,192.85
4210600.03,63.77
4210600.04,16.70
4210600.05,3.63
4210600.06,1.78
4210605.00,166.28
4210610.00,63.78
4210700.00,44.70
4210800.01,9.55
4210800.02,2.89
4210801.00,1.05
4210802.00,3.82
4210810.00,1.28
4210811.00,11.50
4210812.00,1.26
4210820.01,2.51
4210820.03,1.96
4210820.04,13.58
4210825.00,90.21
4210830.01,6.74
4210830.02,5.51
4210835.03,54.51
4210835.04,24.68
4210835.05,4.03
4210835.06,6.16
4210835.07,6.55
4210840.01,2.52
4210840.02,5.47
4210845.03,33.25
4210845.04,2.70
4210845.05,106.88
4210845.06,58.46
4210846.02,33.84
4210846.03,20.92
4210846.04,3.73
4210850.02,21.10
4210850.03,3.76
4210850.04,2.33
4210850.05,13.18
4210900.00,122.57
4210901.00,71.99
4210902.00,60.20
4330000.00,1459.58
4330001.00,3.20
4330002.00,0.87
4330003.00,0.73
4330004.00,0.98
4330005.00,0.98
4330006.00,3.52
4330007.00,1.47
4330008.00,2.64
4330009.01,2.94
4330009.02,3.07
4330010.00,1.59
4330011.00,0.70
4330012.00,0.90
4330013.00,0.56
4330014.00,0.74
4330015.01,1.10
4330015.02,1.44
4330016.00,1.03
4330017.00,2.63
4330018.00,2.01
4330019.01,20.75
4330019.02,4.07
4330100.00,27.92
4330110.01,29.37
4330110.03,31.36
4330110.04,6.27
4330110.06,6.50
4330110.07,4.04
4330111.01,9.19
4330111.02,28.60
4330111.05,4.56
4330111.06,2.65
4330111.07,15.01
4330111.08,14.98
4330112.01,255.46
4330112.02,81.83
4330113.01,42.76
4330113.02,32.38
4330200.00,46.51
4330201.00,136.29
4330202.00,114.46
4330300.01,68.82
4330300.02,70.39
4330400.01,41.65
4330400.02,17.27
4330400.03,2.96
4330400.04,82.59
4330401.00,91.64
4330402.00,136.19
4420000.00,1040.52
4420001.00,0.63
4420002.00,0.86
4420003.00,3.00
4420004.00,2.70
4420005.00,2.14
4420006.00,0.72
