"id","area_km"
10080185,523.30
10080186,29.83
10080187,35.71
10080188,13.24
10080189,4.29
10080190,0.24
10080191,5.59
10080192,0.25
10080193,0.68
10080194,12.62
10080195,87.10
10080196,18.56
10080197,18.16
10080198,8.50
10080199,720.54
10080200,26.73
10080201,21.94
10080202,28.81
10080203,20.17
10080204,34.67
10080205,34.38
10080206,2.23
10080207,3.97
10080208,3.58
10080209,1230.98
10080210,1.45
10080211,2.61
10080212,7.16
10080213,9.07
10080214,2.94
10080215,0.28
10080216,14.23
10080217,0.15
10080218,384.38
10080219,46.31
10080220,25.19
10080221,411.30
10080222,1.93
10080223,3.10
10080224,4.10
10080225,2287.42
10080226,10.79
10080227,5.13
10080228,3.78
10080229,1.02
10080230,10.09
10080231,14.48
10080232,271.32
10080233,57.56
10080234,42.20
10080235,18.15
10080236,39.77
10080237,17.21
10080238,11.93
10080239,7.69
10080240,4.03
10080241,12.99
10080242,22.80
10080243,15.38
10080244,49.52
10080245,75.41
10080246,367.98
10080247,582.75
10080248,46.28
10080249,39.40
10080250,3.68
10080251,116.64
10080252,60.48
10080253,1.66
10080254,7.80
10080255,668.33
10080256,20.43
1009,13527.12
10090078,299.12
10090079,11.12
10090080,1.95
10090081,646.11
10090082,2.69
10090083,9.80
10090084,2.28
10090085,24.38
10090086,0.56
10090087,8.37
10090088,8.31
10090089,245.44
10090090,397.01
10090091,7.64
10090092,34.59
10090093,2.41
10090094,1208.57
10090095,4.74
10090096,9.39
10090097,75.01
10090098,1277.96
10090099,4.69
10090100,46.55
10090101,38.26
10090102,0.55
10090103,8.19
10090104,27.42
10090105,5042.11
10090106,9.25
10090107,28.51
10090108,6.26
10090109,11.59
10090110,30.00
10090111,28.80
10090112,2134.58
10090113,17.84
10090114,12.63
10090115,7.39
10090116,8.19
10090117,5.35
10090118,1744.60
10090119,5.91
10090120,4.91
10090121,4.54
10090122,9.01
10090123,3.06
10090124,2.91
10090125,6.57
1010,199703.36
10100061,235.29
10100062,44.26
10100063,26186.86
10100065,3.20
10100066,1.11
10100067,66.68
10100068,0.77
10100069,0.59
10100070,1.19
10100071,0.83
10100072,0.59
10100073,1.87
10100074,0.42
10100075,220.38
10100076,3.08
10100077,2.95
10100078,1.65
10100079,0.63
10100080,0.93
10100081,3.29
10100082,67988.58
10100083,3.47
10100084,0.36
10100085,42.17
10100086,0.25
10100087,28.46
10100088,0.12
10100089,0.14
10100090,0.18
10100091,0.16
10100092,0.18
10100093,0.18
10100094,6.41
10100095,1.41
10100096,0.23
10100097,0.19
10100098,0.20
10100099,0.47
10100100,0.33
10100101,0.14
10100102,36628.87
10100103,38.16
10100104,9.25
10100105,30.53
10100106,3.27
10100107,32.52
10100108,3755.14
10100109,7.44
10100110,3.48
10100111,7.78
10100112,4.37
10100113,1.58
10100114,61.92
10100115,7.45
10100116,64261.38
1011,69371.46
10110001,42227.44
10110002,94.27
10110003,0.32
10110004,3.36
10110005,27038.52
10110006,1.97
10110007,1.98
10110008,3.61
1101,1686.34
11010040,89.85
11010041,84.16
11010042,69.92
11010043,0.57
11010044,2.89
11010045,10.94
11010046,24.16
11010047,81.24
11010048,86.76
11010049,78.23
11010050,71.94
11010051,5.12
11010052,60.07
11010053,52.58
11010054,24.08
11010055,20.03
11010056,22.10
11010057,0.88
11010058,0.74
11010059,0.87
11010060,0.67
11010061,25.73
11010062,42.27
11010063,53.66
11010064,57.20
11010065,45.22
11010066,31.49
11010067,11.09
11010068,14.87
11010069,1.59
11010070,1.47
11010071,42.00
11010072,39.59
11010073,3.89
11010074,80.76
11010075,83.84
11010076,0.78
11010077,1.46
11010078,76.71
11010079,71.61
11010080,4.27
11010081,94.16
11010082,48.93
11010083,65.95
1102,2020.48
11020116,1.22
11020117,92.48
11020118,0.02
11020119,1.43
11020120,83.71
11020121,26.76
11020122,27.11
11020123,29.17
11020124,20.45
11020125,33.25
11020126,18.91
11020127,9.97
11020128,8.79
11020129,9.59
11020130,3.33
11020131,1.54
11020132,0.84
11020133,1.08
11020134,2.48
11020135,0.60
11020136,0.29
11020137,0.98
11020138,0.80
11020139,2.40
11020140,0.21
11020141,0.26
11020142,0.23
11020143,0.37
11020144,0.43
11020145,0.36
11020146,0.22
11020147,0.20
11020148,0.78
11020149,0.36
11020150,0.31
11020151,0.34
11020152,0.12
11020153,0.11
11020154,0.14
11020155,0.21
11020156,0.09
11020157,0.52
11020158,0.11
11020159,0.32
11020160,0.11
11020161,0.11
11020162,0.12
11020163,0.18
11020164,0.12
11020165,0.14
11020166,0.20
11020167,0.36
11020168,0.18
11020169,0.22
11020170,0.12
11020171,0.13
11020172,0.15
11020173,0.19
11020174,0.49
11020175,1.20
11020176,0.22
11020177,1.18
11020178,0.29
11020179,0.36
11020180,1.21
11020181,0.32
11020182,0.27
11020183,0.40
11020184,0.51
11020185,0.54
11020186,2.66
11020187,5.25
11020188,0.40
11020189,0.31
11020190,9.31
11020191,1.26
11020192,7.94
11020193,9.29
11020194,20.28
11020195,0.04
11020196,19.78
11020197,15.25
11020198,16.52
11020199,22.95
11020200,29.22
11020201,27.00
11020202,18.65
11020203,29.96
11020204,10.18
11020205,5.49
11020206,22.62
11020207,32.53
11020208,38.55
11020209,5.97
11020210,71.75
11020211,32.09
11020212,37.79
11020213,2.41
11020214,14.64
11020215,44.94
11020216,43.63
11020217,12.55
11020218,47.38
11020219,35.79
11020220,31.69
11020221,38.34
11020222,55.87
11020223,2.15
11020224,27.87
11020225,1.46
11020226,59.67
11020227,26.47
11020228,3.74
11020229,0.38
11020230,2.73
11020231,0.90
11020232,0.32
11020233,0.37
11020234,1.91
11020235,0.31
11020236,1.14
11020237,0.58
11020238,3.34
11020239,3.46
11020240,3.21
11020241,0.13
11020242,11.06
11020243,17.24
11020244,25.51
11020245,43.67
11020246,24.84
11020247,70.32
11020248,50.26
11020249,31.61
11020250,35.95
11020251,74.11
11020252,60.65
11020253,82.64
11020254,81.63
11020255,1.35
11020256,0.87
11020257,1.03
11020258,0.47
11020259,0.10
11020260,1.69
11020261,3.44
11020262,6.01
11020263,14.68
11020264,27.62
11020265,0.65
11020266,0.18
11020267,0.24
1103,1979.21
11030072,25.22
11030073,18.02
11030074,2.63
11030075,3.24
11030076,19.67
11030077,31.48
11030078,33.04
11030079,26.99
11030080,1.90
11030081,0.62
11030082,54.90
11030083,75.50
11030084,27.88
11030085,26.65
11030086,2.48
11030087,2.03
11030088,37.13
11030089,54.27
11030090,35.66
11030091,1.04
11030092,0.64
11030093,74.04
11030094,83.88
11030095,77.15
11030096,70.33
11030097,89.33
11030098,43.31
11030099,35.88
11030100,5.67
11030101,6.61
11030102,89.50
11030103,1.72
11030104,51.66
11030105,78.92
11030106,1.78
11030107,36.08
11030108,58.14
11030109,1.26
11030110,36.43
11030112,3.45
11030113,1.70
11030114,2.69
11030115,0.21
11030116,0.80
11030117,0.27
11030118,1.08
11030119,0.73
11030120,0.18
11030121,0.26
11030122,0.25
11030123,0.12
11030124,0.32
11030125,0.13
11030126,2.94
11030127,1.66
11030128,8.85
11030129,3.32
11030130,13.38
11030131,2.67
11030132,1.87
11030133,0.18
11030134,3.59
11030135,0.33
11030136,0.83
11030137,0.16
11030138,0.16
11030139,0.18
11030140,0.18
11030141,0.31
11030142,0.20
11030143,1.14
11030144,9.08
11030145,13.63
11030146,20.34
11030147,1.10
11030149,0.55
11030151,49.99
11030152,22.08
11030153,48.51
11030154,1.86
11030155,0.68
11030156,40.70
11030157,32.16
11030158,6.19
11030159,6.81
11030160,42.30
11030161,36.15
11030162,43.93
11030163,3.82
11030164,45.56
11030165,47.42
11030166,31.79
11030167,27.36
11030168,51.28
11030169,0.13
11030174,1.36
11030175,17.53
11030176,0.03
11030177,0.00
1201,2467.39
12010030,1059.92
12010031,5.00
12010032,0.76
12010033,0.82
12010034,2.26
12010035,32.32
12010036,55.04
12010037,43.33
12010038,118.51
12010039,395.37
12010040,233.28
12010041,44.41
12010042,3.22
12010043,81.38
12010044,37.04
12010045,12.34
12010046,6.94
12010047,3.38
12010048,12.79
12010049,7.31
12010050,2.81
12010051,11.70
12010052,16.45
12010053,25.86
12010054,151.55
12010055,2.33
12010056,101.26
1202,2125.70
12020043,194.89
12020044,66.80
12020045,80.28
12020046,24.52
12020047,18.17
12020048,15.54
12020049,13.95
12020050,3.48
12020051,5.24
12020052,0.42
12020053,0.45
12020054,1.54
12020055,1.94
12020056,0.17
12020057,0.26
12020058,0.24
12020059,0.24
12020060,0.24
12020061,1.02
12020062,0.37
12020063,1.11
12020064,1.66
12020065,23.84
12020066,0.31
12020067,25.86
12020068,13.12
12020069,17.39
12020070,0.90
12020071,3.73
12020072,33.35
12020073,17.83
12020074,14.71
12020075,2.32
12020076,16.30
12020077,10.09
12020078,37.09
12020079,42.75
12020080,32.03
12020081,78.57
12020082,22.75
12020083,1187.45
12020084,26.00
12020085,12.31
12020086,20.79
12020087,53.70
1203,2516.43
12030040,16.01
12030041,1.24
12030042,0.67
12030043,0.55
12030044,0.69
12030045,50.04
12030046,13.15
12030047,36.93
12030048,69.75
12030051,1120.18
12030052,52.20
12030053,28.83
12030054,43.08
12030055,54.63
12030056,65.05
12030057,11.70
12030058,4.14
12030059,14.38
12030060,12.20
12030061,44.76
12030062,16.57
12030063,18.46
12030064,11.75
12030065,8.15
12030066,21.74
12030067,43.84
12030068,81.75
12030069,282.94
12030070,171.67
12030071,49.11
12030072,11.17
12030073,8.04
12030074,16.02
12030075,7.95
12030076,12.63
12030077,68.67
12030078,20.36
12030079,22.04
12030082,3.40
1204,2398.51
12040025,137.51
12040026,4.75
12040027,92.80
12040028,30.85
12040029,735.97
12040030,127.58
12040031,1.13
12040032,179.81
12040033,2.49
12040034,9.38
12040035,0.76
12040036,0.40
12040037,0.81
12040038,2.52
12040039,37.92
12040040,0.42
12040041,0.84
12040042,5.72
12040043,21.93
12040044,50.26
12040045,167.78
12040046,27.36
12040047,13.07
12040048,656.11
12040049,90.35
1205,3189.14
12050044,12.73
12050045,1.27
12050046,3.41
12050047,3.36
12050048,11.32
12050049,26.33
12050050,8.65
12050051,34.40
12050052,51.72
12050053,1.71
12050054,3.19
12050055,0.67
12050056,13.62
12050057,5.70
12050058,40.91
12050059,16.50
12050060,59.56
12050061,24.85
12050062,85.62
12050063,44.03
12050064,2.54
12050065,1.01
12050066,45.02
12050067,33.98
12050068,86.60
12050069,131.38
12050070,4.67
12050071,2.04
12050072,64.31
12050073,47.57
12050074,10.29
12050075,60.73
12050076,0.24
12050077,72.00
12050078,29.25
12050080,0.47
12050082,1213.92
12050083,342.43
12050084,381.52
12050085,12.10
12050086,65.37
12050087,6.81
12050088,64.17
12050089,34.84
12050090,3.09
12050093,23.25
1206,2909.77
12060071,4.05
12060072,124.39
12060073,0.44
12060074,203.17
12060075,139.04
12060077,38.70
12060078,32.41
12060079,13.53
12060080,37.84
12060081,75.45
12060082,36.95
12060083,30.03
12060084,13.04
12060085,14.03
12060087,3.71
12060088,1.52
12060089,0.74
12060090,1.32
12060091,1.73
12060092,1.32
12060093,0.26
12060094,0.25
12060095,0.40
12060096,0.44
12060097,0.53
12060098,0.25
12060099,0.23
12060100,0.31
12060105,22.26
12060106,30.73
12060107,13.27
12060108,1.13
12060109,1.94
12060110,0.30
12060111,0.25
12060112,0.42
12060113,14.73
12060114,23.27
12060115,16.48
12060116,21.97
12060118,23.26
12060119,34.55
12060120,32.35
12060124,14.24
12060125,39.37
12060126,9.80
12060128,0.62
12060129,13.12
12060130,38.97
12060131,72.20
12060132,71.83
12060133,169.31
12060134,132.26
12060135,15.71
12060136,4.33
12060137,6.78
12060138,5.73
12060139,8.91
