X,Y,id,CMAUID,CTUID
-79.6508782508899,43.5545937130407,35210708,535,5350518.00
-79.6499810516243,43.5577555509421,35210709,535,5350518.00
-79.6531658190064,43.5592073131375,35210710,535,5350518.00
-79.6484466258387,43.5602435983775,35210711,535,5350518.00
-79.6422116835348,43.5593360943591,35210714,535,5350520.01
-79.6404559713232,43.5582741647125,35210715,535,5350513.01
-79.63279208703,43.56133189455,35210716,535,5350513.01
-79.6315229106328,43.5619585915773,35210717,535,5350513.01
-79.3089226797879,43.6658292268833,35204751,535,5350020.00
-80.0846481296264,44.0575942710935,35220078,535,5350593.00
-80.1074022436028,44.0219386097365,35220079,535,5350593.00
-80.1275178929994,43.9699069135721,35220080,535,5350593.00
-79.6702423278472,43.7723117352596,35211885,535,5350576.64
-79.658095124811,43.7788299389209,35211887,535,5350576.62
-79.8171956550857,43.7073540031323,35211888,535,5350576.50
-79.8285324914779,43.707470003484,35211890,535,5350576.49
-79.8287841945191,43.7042722393429,35211891,535,5350576.49
-79.8317252266245,43.7049096147329,35211892,535,5350576.49
-79.8230587076918,43.7024142188592,35211893,535,5350576.50
-80.0735733726,43.9401029283647,35220082,535,5350593.00
-80.0762831731558,43.9262584737619,35220083,535,5350593.00
-80.0811343456078,43.924815313765,35220084,535,5350592.01
-80.0704058495271,43.92158252709,35220085,535,5350592.01
-80.0673440307175,43.9205490559155,35220086,535,5350592.01
-80.0892215916734,43.9240706136418,35220087,535,5350592.01
-79.8085460633286,43.7000481723973,35211910,535,5350576.43
-79.8141290869372,43.6991267099382,35211911,535,5350576.43
-79.812795542568,43.6976247047262,35211912,535,5350576.43
-79.8071706053414,43.6968313937636,35211913,535,5350576.43
-79.819380365347,43.6968587172837,35211914,535,5350576.44
-79.8183025760921,43.6958417116214,35211915,535,5350576.44
-79.7204093377118,43.6292982815591,35211725,535,5350528.40
-79.7161136810517,43.6305540773809,35211726,535,5350528.41
-79.7115773924996,43.6286020588994,35211727,535,5350528.41
-79.7119402946838,43.6340182842498,35211728,535,5350528.41
-79.7176271876269,43.624553942374,35211729,535,5350528.40
-79.7236112422314,43.6269844859302,35211730,535,5350528.40
-79.7256789039917,43.6234727776976,35211731,535,5350528.40
-79.7317076039463,43.6294389463988,35211732,535,5350528.49
-79.7263589313445,43.6302135898608,35211733,535,5350528.49
-79.6376279308999,43.587095549056,35212009,535,5350520.10
-79.7188900620445,43.5538759942838,35212011,535,5350516.44
-79.6253265749177,43.5844425648843,35210850,535,5350520.05
-79.623509385163,43.5867217117703,35210851,535,5350521.03
-79.6265902686648,43.5893403345524,35210852,535,5350521.03
-79.6198969926321,43.5956405183712,35210855,535,5350521.04
-79.6347051040838,43.5963409770526,35210862,535,5350527.03
-79.7456855283729,43.6257638940612,35211735,535,5350528.39
-79.7429812585294,43.6229284648233,35211737,535,5350528.39
-79.7404560852547,43.6175647639214,35211738,535,5350528.39
-79.7450868747136,43.6190737965462,35211739,535,5350528.39
-79.7540047724491,43.6172353057606,35211740,535,5350528.39
-79.7504222577005,43.6164502476495,35211741,535,5350528.39
-79.7649398081782,43.6075884351837,35211742,535,5350528.39
-79.733263982872,43.6151098050528,35211743,535,5350528.40
-79.7139199206671,43.6204966259444,35211744,535,5350528.40
-79.8224131360014,43.6923587689235,35212026,535,5350576.41
-79.8264724034064,43.6937615821596,35212027,535,5350576.41
-79.8301076309076,43.6913297378693,35212028,535,5350576.41
-79.8264634342088,43.7017608327642,35211894,535,5350576.50
-79.8231498364515,43.6991614751411,35211895,535,5350576.50
-79.8358416140265,43.7029444947853,35211896,535,5350576.53
-79.832048922601,43.701595558437,35211897,535,5350576.53
-79.8345664574706,43.6993281375614,35211898,535,5350576.53
-79.8312877277721,43.6983277632528,35211899,535,5350576.53
-79.8318172242247,43.697882101658,35211900,535,5350576.53
-79.8286084812333,43.6972623907351,35211901,535,5350576.53
-79.6355846797322,43.616206300414,35211016,535,5350528.44
-79.639089372152,43.6166035196142,35211017,535,5350528.44
-79.6371846619917,43.6147858935304,35211018,535,5350528.44
-79.6381657396739,43.6121427581254,35211019,535,5350528.44
-79.6420752805513,43.6141066289295,35211021,535,5350528.45
