X,Y,id,CMA
-79.73129241805,43.5549195999758,5350516.48,535
-79.9170766032789,43.2412423791545,5370016.00,537
-79.9024001197321,43.2477391391206,5370017.00,537
-79.2236833676658,43.769148857819,5350365.00,535
-79.2352139686367,43.762079001926,5350366.00,535
-79.8506849149899,43.2366864482568,5370021.00,537
-79.8413593359818,43.2342123939739,5370022.00,537
-79.8326103919811,43.2312349370923,5370023.00,537
-79.6518808159392,43.5145989241167,5350503.00,535
-79.6373102649952,43.5218581860152,5350504.00,535
-79.5976217425,43.5593419244098,5350506.00,535
-79.5875900599883,43.5673715841458,5350507.00,535
-79.8069220900746,43.2339768440021,5370029.00,537
-79.8171029734705,43.2359383252557,5370030.00,537
-79.826485000871,43.2389574936499,5370031.00,537
-79.8364139723078,43.2426807667061,5370032.00,537
